"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"254","Quinton Bell (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.1%"
"255","Alex Bachman (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"256","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Collin Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"258","Josh Ali (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"259","Tyler Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"260","Stanley Morgan Jr. (CIN)","0","1","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.1%"
"261","KeeSean Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"262","Preston Williams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"263","Keelan Doss (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"264","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"265","Kevin Austin Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"268","John Metchie III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"269","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"270","Drew Estrada (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"272","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"273","Kaylon Geiger Sr. (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"274","Isaiah Weston (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Gerrit Prince (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.3%"
"277","Tanner Conner (MIA)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"278","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Kalil Pimpleton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Stanley Berryhill III (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"281","Emeka Emezie (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"282","Blake Proehl (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Kawaan Baker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Tre Nixon (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Jacob Harris (LAR)","1","1","6","6.0","6","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"286","Dontario Drummond (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Calvin Austin III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"288","C.J. Saunders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"289","Kyric McGowan (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Ra'Shaun Henry (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Stone Smartt (LAC)","4","5","17","4.3","8","0","0","0","0","0","0","3","0.0","0.0","0.0%"
