"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"182","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"183","Keaontay Ingram (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"184","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"185","Ulysses Bentley IV (IND)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"187","Xazavian Valladay (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"188","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"189","Scott Matlock (LAC)","0","0","0","0","0","0","4","4","12","3.0","1","0","16","0.0","0.0","4.5%"
"189","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","9.8%"
"191","Jabari Small (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Israel Abanikanda (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"191","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"194","Velus Jones Jr. (SEA)","4","32","8.0","25","1","0","0","0","0","0","0","0","6","0.0","0.0","1.6%"
"194","Connor Heyward (LV)","15","43","2.9","29","1","2","4","3","21","7.0","1","0","16","0.0","0.0","0.3%"
"196","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"209","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Andrew Beck (NYJ)","1","5","5.0","5","0","0","9","6","45","7.5","2","0","17","0.0","0.0","0.2%"
"210","Jakob Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"210","Alexander Mattison (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"213","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"214","Jeff Wilson Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"214","Michael Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"216","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Travis Homer (PIT)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","8","-0.2","0.0","0.6%"
"217","Nyheim Miller-Hines (FA)","2","-2","-1.0","1","0","0","0","0","0","0","0","0","4","-0.2","-0.1","0.0%"
""
""
