"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"225","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Anthony Firkser (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"228","Robert Tonyan (KC)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"229","Albert Okwuegbunam Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"231","Andrew Beck (NYJ)","0","2","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"232","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"233","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","C.J. Uzomah (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"235","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.5%"
"236","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"240","Luke Deal (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
